strike;date_expiration;bid;ask;volume;open_interest;spot;date_obs;;;;;;;;;;;;;;
195;16/05/2025;25.70;28.25;36;3,505;218.27;23/03/2025;;;;;;;;;;;;;;
200;16/05/2025;22.70;24.10;358;874;218.27;23/03/2025;;;;;;;;;;;;;;
205;16/05/2025;18.80;20.20;111;810;218.27;23/03/2025;;;;;;;;;;;;;;
210;16/05/2025;15.35;15.55;186;1,19;218.27;23/03/2025;;;;;;;;;;;;;;
215;16/05/2025;12.10;12.30;1,021;2,933;218.27;23/03/2025;;;;;;;;;;;;;;
220;16/05/2025;9.25;9.40;919;5,197;218.27;23/03/2025;;;;;;;;;;;;;;
225;16/05/2025;6.85;7.00;556;5,188;218.27;23/03/2025;;;;;;;;;;;;;;
230;16/05/2025;4.85;5.00;768;7,907;218.27;23/03/2025;;;;;;;;;;;;;;
235;16/05/2025;3.35;3.50;597;7,496;218.27;23/03/2025;;;;;;;;;;;;;;
240;16/05/2025;2.25;2.32;1,934;8,861;218.27;23/03/2025;;;;;;;;;;;;;;
245;16/05/2025;1.48;1.56;406;8,095;218.27;23/03/2025;;;;;;;;;;;;;;
250;16/05/2025;0.98;1.04;599;13,153;218.27;23/03/2025;;;;;;;;;;;;;;
255;16/05/2025;0.65;0.69;368;21,373;218.27;23/03/2025;;;;;;;;;;;;;;
260;16/05/2025;0.45;0.48;387;13,058;218.27;23/03/2025;;;;;;;;;;;;;;
265;16/05/2025;0.32;0.35;71;10,692;218.27;23/03/2025;;;;;;;;;;;;;;
270;16/05/2025;0.24;0.25;39;7,855;218.27;23/03/2025;;;;;;;;;;;;;;
275;16/05/2025;0.17;0.21;10;10,637;218.27;23/03/2025;;;;;;;;;;;;;;
280;16/05/2025;0.13;0.18;6;13,746;218.27;23/03/2025;;;;;;;;;;;;;;
285;16/05/2025;0.10;0.15;1;1,899;218.27;23/03/2025;;;;;;;;;;;;;;
290;16/05/2025;0.08;0.12;13;985;218.27;23/03/2025;;;;;;;;;;;;;;
295;16/05/2025;0.05;0.10;5;671;218.27;23/03/2025;;;;;;;;;;;;;;
300;16/05/2025;0.05;0.08;319;1,118;218.27;23/03/2025;;;;;;;;;;;;;;
305;16/05/2025;0.04;0.05;1;182;218.27;23/03/2025;;;;;;;;;;;;;;
310;16/05/2025;0.03;0.06;2;213;218.27;23/03/2025;;;;;;;;;;;;;;
315;16/05/2025;0.03;0.05;181;148;218.27;23/03/2025;;;;;;;;;;;;;;
320;16/05/2025;0.02;0.03;51;2,105;218.27;23/03/2025;;;;;;;;;;;;;;
5;20/06/2025;211.50;213.85;4;752;218.27;23/03/2025;;;;;;;;;;;;;;
10;20/06/2025;207.55;209.00;1;369;218.27;23/03/2025;;;;;;;;;;;;;;
15;20/06/2025;202.25;205.50;1;0;218.27;23/03/2025;;;;;;;;;;;;;;
20;20/06/2025;197.50;199.45;1;8;218.27;23/03/2025;;;;;;;;;;;;;;
25;20/06/2025;192.40;194.55;1;3;218.27;23/03/2025;;;;;;;;;;;;;;
30;20/06/2025;187.45;190.55;1;2;218.27;23/03/2025;;;;;;;;;;;;;;
35;20/06/2025;199.35;200.20;1;1;218.27;23/03/2025;;;;;;;;;;;;;;
40;20/06/2025;177.45;179.60;1;8;218.27;23/03/2025;;;;;;;;;;;;;;
45;20/06/2025;172.50;174.70;1;3;218.27;23/03/2025;;;;;;;;;;;;;;
50;20/06/2025;167.95;169.20;1;1,251;218.27;23/03/2025;;;;;;;;;;;;;;
55;20/06/2025;162.95;164.50;1;365;218.27;23/03/2025;;;;;;;;;;;;;;
60;20/06/2025;157.90;159.50;1;326;218.27;23/03/2025;;;;;;;;;;;;;;
65;20/06/2025;152.95;154.70;1;267;218.27;23/03/2025;;;;;;;;;;;;;;
70;20/06/2025;148.05;149.65;1;466;218.27;23/03/2025;;;;;;;;;;;;;;
75;20/06/2025;143.15;144.75;1;295;218.27;23/03/2025;;;;;;;;;;;;;;
80;20/06/2025;138.70;139.85;3;309;218.27;23/03/2025;;;;;;;;;;;;;;
85;20/06/2025;133.30;134.65;6;725;218.27;23/03/2025;;;;;;;;;;;;;;
90;20/06/2025;128.40;129.90;40;487;218.27;23/03/2025;;;;;;;;;;;;;;
95;20/06/2025;123.75;124.75;1;3,699;218.27;23/03/2025;;;;;;;;;;;;;;
100;20/06/2025;119.00;120.05;3;325;218.27;23/03/2025;;;;;;;;;;;;;;
105;20/06/2025;114.05;115.20;2;194;218.27;23/03/2025;;;;;;;;;;;;;;
110;20/06/2025;108.70;110.25;5;477;218.27;23/03/2025;;;;;;;;;;;;;;
115;20/06/2025;104.25;105.35;5;390;218.27;23/03/2025;;;;;;;;;;;;;;
120;20/06/2025;99.25;100.20;1;1,254;218.27;23/03/2025;;;;;;;;;;;;;;
125;20/06/2025;93.95;95.50;11;428;218.27;23/03/2025;;;;;;;;;;;;;;
130;20/06/2025;89.40;90.40;27;737;218.27;23/03/2025;;;;;;;;;;;;;;
135;20/06/2025;84.55;85.55;10;783;218.27;23/03/2025;;;;;;;;;;;;;;
140;20/06/2025;79.50;80.60;1;874;218.27;23/03/2025;;;;;;;;;;;;;;
145;20/06/2025;74.80;75.65;1;877;218.27;23/03/2025;;;;;;;;;;;;;;
150;20/06/2025;69.65;70.85;5;1,231;218.27;23/03/2025;;;;;;;;;;;;;;
155;20/06/2025;64.95;66.00;25;1,014;218.27;23/03/2025;;;;;;;;;;;;;;
160;20/06/2025;60.40;61.15;2;2,539;218.27;23/03/2025;;;;;;;;;;;;;;
165;20/06/2025;55.90;56.40;1;1,631;218.27;23/03/2025;;;;;;;;;;;;;;
170;20/06/2025;50.90;51.50;7;2,39;218.27;23/03/2025;;;;;;;;;;;;;;
175;20/06/2025;46.50;46.85;6;2,414;218.27;23/03/2025;;;;;;;;;;;;;;
180;20/06/2025;41.95;42.25;3;6,449;218.27;23/03/2025;;;;;;;;;;;;;;
185;20/06/2025;37.50;37.80;19;3,078;218.27;23/03/2025;;;;;;;;;;;;;;
190;20/06/2025;33.20;33.45;23;7,058;218.27;23/03/2025;;;;;;;;;;;;;;
195;20/06/2025;28.85;29.25;25;7,819;218.27;23/03/2025;;;;;;;;;;;;;;
200;20/06/2025;24.90;25.30;9;15,982;218.27;23/03/2025;;;;;;;;;;;;;;
205;20/06/2025;21.20;21.60;48;7,078;218.27;23/03/2025;;;;;;;;;;;;;;
210;20/06/2025;17.80;19.10;393;14,111;218.27;23/03/2025;;;;;;;;;;;;;;
215;20/06/2025;14.70;14.90;837;12,466;218.27;23/03/2025;;;;;;;;;;;;;;
220;20/06/2025;11.85;12.00;3,069;13,267;218.27;23/03/2025;;;;;;;;;;;;;;
225;20/06/2025;9.35;9.50;301;7,012;218.27;23/03/2025;;;;;;;;;;;;;;
230;20/06/2025;7.15;7.35;735;15,735;218.27;23/03/2025;;;;;;;;;;;;;;
235;20/06/2025;5.35;5.50;396;20,716;218.27;23/03/2025;;;;;;;;;;;;;;
240;20/06/2025;3.95;4.05;585;20,479;218.27;23/03/2025;;;;;;;;;;;;;;
245;20/06/2025;2.85;2.96;558;19,988;218.27;23/03/2025;;;;;;;;;;;;;;
250;20/06/2025;2.05;2.13;1,265;26,946;218.27;23/03/2025;;;;;;;;;;;;;;
255;20/06/2025;1.46;1.51;177;7,168;218.27;23/03/2025;;;;;;;;;;;;;;
260;20/06/2025;1.06;1.09;1,055;31,11;218.27;23/03/2025;;;;;;;;;;;;;;
265;20/06/2025;0.77;0.80;142;10,737;218.27;23/03/2025;;;;;;;;;;;;;;
270;20/06/2025;0.57;0.60;905;16,691;218.27;23/03/2025;;;;;;;;;;;;;;
275;20/06/2025;0.44;0.46;233;6,798;218.27;23/03/2025;;;;;;;;;;;;;;
280;20/06/2025;0.34;0.36;67;12,985;218.27;23/03/2025;;;;;;;;;;;;;;
285;20/06/2025;0.27;0.28;50;3,493;218.27;23/03/2025;;;;;;;;;;;;;;
290;20/06/2025;0.21;0.23;12;6,421;218.27;23/03/2025;;;;;;;;;;;;;;
295;20/06/2025;0.17;0.19;1;1,598;218.27;23/03/2025;;;;;;;;;;;;;;
300;20/06/2025;0.14;0.16;120;26,194;218.27;23/03/2025;;;;;;;;;;;;;;
310;20/06/2025;0.10;0.11;72;5,736;218.27;23/03/2025;;;;;;;;;;;;;;
320;20/06/2025;0.06;0.10;56;5,833;218.27;23/03/2025;;;;;;;;;;;;;;
330;20/06/2025;0.05;0.09;1;2,709;218.27;23/03/2025;;;;;;;;;;;;;;
340;20/06/2025;0.03;0.07;104;2,757;218.27;23/03/2025;;;;;;;;;;;;;;
350;20/06/2025;0.03;0.07;1;8,873;218.27;23/03/2025;;;;;;;;;;;;;;
360;20/06/2025;0.03;0.04;1;4,754;218.27;23/03/2025;;;;;;;;;;;;;;
100;28/03/2025;122.75;124.75;1;42;223.75;26/03/2025;;;;;;;;;;;;;;
110;28/03/2025;112.85;114.75;2;2;223.75;26/03/2025;;;;;;;;;;;;;;
120;28/03/2025;102.90;104.80;3;22;223.75;26/03/2025;;;;;;;;;;;;;;
130;28/03/2025;92.80;94.80;-;1;223.75;26/03/2025;;;;;;;;;;;;;;
140;28/03/2025;82.85;84.65;1;35;223.75;26/03/2025;;;;;;;;;;;;;;
145;28/03/2025;77.75;79.85;10;6;223.75;26/03/2025;;;;;;;;;;;;;;
150;28/03/2025;72.80;74.80;6;70;223.75;26/03/2025;;;;;;;;;;;;;;
152.5;28/03/2025;71.10;71.60;-;6;223.75;26/03/2025;;;;;;;;;;;;;;
155;28/03/2025;68.60;69.10;6;15;223.75;26/03/2025;;;;;;;;;;;;;;
157.5;28/03/2025;66.15;66.60;3;37;223.75;26/03/2025;;;;;;;;;;;;;;
160;28/03/2025;63.65;64.10;3;86;223.75;26/03/2025;;;;;;;;;;;;;;
162.5;28/03/2025;61.15;61.60;8;13;223.75;26/03/2025;;;;;;;;;;;;;;
165;28/03/2025;58.65;59.10;14;26;223.75;26/03/2025;;;;;;;;;;;;;;
167.5;28/03/2025;56.15;57.25;10;25;223.75;26/03/2025;;;;;;;;;;;;;;
170;28/03/2025;53.65;54.00;5;68;223.75;26/03/2025;;;;;;;;;;;;;;
172.5;28/03/2025;51.15;51.50;32;21;223.75;26/03/2025;;;;;;;;;;;;;;
175;28/03/2025;48.70;49.10;10;21;223.75;26/03/2025;;;;;;;;;;;;;;
177.5;28/03/2025;46.15;46.50;6;28;223.75;26/03/2025;;;;;;;;;;;;;;
180;28/03/2025;43.65;44.10;18;90;223.75;26/03/2025;;;;;;;;;;;;;;
182.5;28/03/2025;41.15;41.50;13;14;223.75;26/03/2025;;;;;;;;;;;;;;
185;28/03/2025;38.70;39.10;14;94;223.75;26/03/2025;;;;;;;;;;;;;;
187.5;28/03/2025;36.15;36.60;6;40;223.75;26/03/2025;;;;;;;;;;;;;;
190;28/03/2025;33.65;34.10;3;162;223.75;26/03/2025;;;;;;;;;;;;;;
192.5;28/03/2025;31.15;31.60;4;130;223.75;26/03/2025;;;;;;;;;;;;;;
195;28/03/2025;28.65;29.15;18;348;223.75;26/03/2025;;;;;;;;;;;;;;
197.5;28/03/2025;26.15;26.65;19;139;223.75;26/03/2025;;;;;;;;;;;;;;
200;28/03/2025;23.75;24.05;92;1,454;223.75;26/03/2025;;;;;;;;;;;;;;
202.5;28/03/2025;21.25;21.60;19;277;223.75;26/03/2025;;;;;;;;;;;;;;
205;28/03/2025;18.80;19.05;26;1,477;223.75;26/03/2025;;;;;;;;;;;;;;
207.5;28/03/2025;16.30;16.60;30;1,083;223.75;26/03/2025;;;;;;;;;;;;;;
210;28/03/2025;13.85;14.10;1,83;2,565;223.75;26/03/2025;;;;;;;;;;;;;;
212.5;28/03/2025;11.40;11.65;1,807;3,983;223.75;26/03/2025;;;;;;;;;;;;;;
215;28/03/2025;9.00;9.25;1,701;7,07;223.75;26/03/2025;;;;;;;;;;;;;;
217.5;28/03/2025;6.75;6.90;8,078;10,374;223.75;26/03/2025;;;;;;;;;;;;;;
220;28/03/2025;4.65;4.75;21,063;21,706;223.75;26/03/2025;;;;;;;;;;;;;;
222.5;28/03/2025;2.90;2.95;48,197;12,097;223.75;26/03/2025;;;;;;;;;;;;;;
225;28/03/2025;1.58;1.60;77,815;31,936;223.75;26/03/2025;;;;;;;;;;;;;;
227.5;28/03/2025;0.74;0.76;33,852;12,136;223.75;26/03/2025;;;;;;;;;;;;;;
230;28/03/2025;0.31;0.32;21,042;14,639;223.75;26/03/2025;;;;;;;;;;;;;;
232.5;28/03/2025;0.11;0.12;11,774;13,424;223.75;26/03/2025;;;;;;;;;;;;;;
235;28/03/2025;0.04;0.05;3,409;9,272;223.75;26/03/2025;;;;;;;;;;;;;;
237.5;28/03/2025;0.02;0.03;1,885;6,455;223.75;26/03/2025;;;;;;;;;;;;;;
